Bus Number,Service Date,Route/Down/NIS,Date When Service Went Down,Bus Went Down on Service Date,Expected Return Date,Specify Other Reason Here,Current Status for Down Buses,Operations Down Bus Reason 1,Operations Down Bus Reason 2,Operations Down Bus Reason 3,Down Duration,AM Pull-out Route/Down/NIS,AM Pullout Down Bus Reason 1,AM Pullout Down Bus Reason 2,Bus Status Change,Number of Days Down
1131.0,2023-08-27,Down,2023-07-18 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,40.0,Down,A/C (HVAC) Issues,Not Specified,Yes,40
1131.0,2023-08-29,Down,2023-07-18 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,42.0,Down,A/C (HVAC) Issues,Not Specified,Yes,42
1132.0,2023-08-09,Down,2023-08-05 00:00:00,Not Specified,2023-08-08 00:00:00,Not Specified,Awaiting Diagnostics,Shutting Down,Not Specified,Not Specified,4.0,Down,Shutting Down,Not Specified,Yes,4
1132.0,2023-08-10,Down,2023-08-05 00:00:00,Not Specified,2023-08-08 00:00:00,Not Specified,Awaiting Diagnostics,Shutting Down,Not Specified,Not Specified,5.0,Down,Shutting Down,Not Specified,Yes,5
1132.0,2023-08-16,Down,2023-08-16 00:00:00,Yes,2023-08-17 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Emission/Inspections,Not Specified,Not Specified,0.0,Down,Emission/Inspections,Not Specified,Yes,0
1132.0,2023-08-17,Down,2023-08-15 00:00:00,Not Specified,2023-08-21 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Emission/Inspections,Not Specified,Not Specified,2.0,RS-DP,Not Specified,Not Specified,No,2
1132.0,2023-08-19,Down,2023-08-18 00:00:00,Yes,2023-08-21 00:00:00,DCI,Awaiting Service/Parts (incl. Proterra),DCI,Not Specified,Not Specified,1.0,Down,A/C (HVAC) Issues,Not Specified,Yes,1
1132.0,2023-08-20,Down,2023-08-15 00:00:00,Not Specified,2023-08-25 00:00:00,`,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues, Emission/Inspections,Not Specified,5.0,Down,A/C (HVAC) Issues,Not Specified,Yes,5
1132.0,2023-08-21,Down,2023-08-15 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues, Emission/Inspections,Not Specified,6.0,Down,A/C (HVAC) Issues,Not Specified,Yes,6
1132.0,2023-08-22,Down,2023-08-15 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Emission/Inspections,Not Specified,Not Specified,7.0,Down,A/C (HVAC) Issues,Not Specified,Yes,7
1132.0,2023-08-23,Down,2023-08-15 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues, Emission/Inspections,Not Specified,8.0,Down,A/C (HVAC) Issues,Not Specified,Yes,8
1132.0,2023-08-24,Down,2023-08-16 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues, Emission/Inspections,Not Specified,8.0,Down,A/C (HVAC) Issues,Not Specified,Yes,8
1132.0,2023-08-25,Down,2023-08-15 00:00:00,Yes,2023-09-01 00:00:00,Not Specified,In Progress,A/C (HVAC) Issues,Not Specified,Not Specified,10.0,Down,A/C (HVAC) Issues,Not Specified,Yes,10
1133.0,2023-08-09,Not In Service,2023-08-09 00:00:00,Yes,2023-08-10 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,No,0
1133.0,2023-08-12,Not In Service,2023-08-12 00:00:00,Not Specified,2023-08-13 00:00:00,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Spare,Not Specified,Not Specified,No,0
1133.0,2023-08-13,Not In Service,2023-08-13 00:00:00,Yes,2023-08-14 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,0.0,Down,A/C (HVAC) Issues,Not Specified,No,0
1133.0,2023-08-16,Down,2023-08-13 00:00:00,Not Specified,2023-08-17 00:00:00,Not Specified,Awaiting Diagnostics,A/C (HVAC) Issues,Not Specified,Not Specified,3.0,Down,A/C (HVAC) Issues,Not Specified,Yes,3
1133.0,2023-08-17,Down,2023-08-12 00:00:00,Not Specified,2023-08-21 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,5.0,Down,A/C (HVAC) Issues,Not Specified,Yes,5
1133.0,2023-08-18,Down,2023-08-12 00:00:00,Yes,2023-08-12 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,6.0,Down,A/C (HVAC) Issues,Not Specified,Yes,6
1133.0,2023-08-19,Down,2023-08-12 00:00:00,Yes,2023-08-21 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,7.0,Down,Transmission Issues,Not Specified,Yes,7
1133.0,2023-08-20,Down,2023-08-12 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,8.0,Down,A/C (HVAC) Issues,Not Specified,Yes,8
1133.0,2023-08-21,Down,2023-08-12 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,9.0,Down,A/C (HVAC) Issues,Not Specified,Yes,9
1133.0,2023-08-22,Down,2023-08-12 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,10.0,Down,A/C (HVAC) Issues,Not Specified,Yes,10
1133.0,2023-08-23,Down,2023-08-12 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,11.0,Down,A/C (HVAC) Issues,Not Specified,Yes,11
1133.0,2023-08-24,Down,2023-08-13 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,11.0,Down,A/C (HVAC) Issues,Not Specified,Yes,11
1133.0,2023-08-25,Down,2023-08-12 00:00:00,Yes,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Transmission Issues,Not Specified,Not Specified,13.0,Down,Ac Compressor Noise,Not Specified,Yes,13
1133.0,2023-08-27,Down,2023-08-12 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,15.0,Down,A/C (HVAC) Issues,Not Specified,Yes,15
1133.0,2023-08-29,Down,2023-08-12 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,17.0,Down,A/C (HVAC) Issues,Not Specified,Yes,17
1134.0,2023-08-09,Down,2023-08-02 00:00:00,Not Specified,2023-08-10 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,7.0,Down,Transmission Issues,Not Specified,Yes,7
1134.0,2023-08-10,Down,2023-08-02 00:00:00,Not Specified,2023-08-10 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,8.0,Down,Transmission Issues,Not Specified,Yes,8
1134.0,2023-08-11,Down,2023-08-02 00:00:00,Not Specified,2023-08-15 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,9.0,Down,Transmission Issues,Not Specified,Yes,9
1134.0,2023-08-12,Down,2023-08-02 00:00:00,Not Specified,2023-08-15 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,10.0,Down,Not Specified,Not Specified,Yes,10
1134.0,2023-08-13,Down,2023-08-02 00:00:00,Not Specified,2023-08-15 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,11.0,Down,Transmission Issues,Not Specified,Yes,11
1134.0,2023-08-16,Down,2023-08-02 00:00:00,Not Specified,2023-08-23 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,14.0,Down,Transmission Issues,Not Specified,Yes,14
1134.0,2023-08-17,Down,2023-08-02 00:00:00,Not Specified,2023-08-20 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,15.0,Down,Transmission Issues,Not Specified,Yes,15
1134.0,2023-08-18,Down,2023-08-02 00:00:00,Yes,2023-08-02 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,16.0,Down,Transmission Issues,Not Specified,Yes,16
1134.0,2023-08-19,Down,2023-08-02 00:00:00,Yes,2023-08-20 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,17.0,Down,Mid-life Refurbishment,Not Specified,Yes,17
1134.0,2023-08-20,Down,2023-08-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,18.0,Down,Transmission Issues,Not Specified,Yes,18
1134.0,2023-08-21,Down,2023-08-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,19.0,Down,Transmission Issues,Not Specified,Yes,19
1134.0,2023-08-22,Down,2023-08-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,20.0,Down,Transmission Issues,Not Specified,Yes,20
1134.0,2023-08-23,Down,2023-08-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,21.0,Down,Transmission Issues,Not Specified,Yes,21
1134.0,2023-08-24,Down,2023-08-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Diagnostics,Transmission Issues,Not Specified,Not Specified,22.0,RS-DP,Not Specified,Not Specified,No,22
1134.0,2023-08-25,Down,2023-08-02 00:00:00,Yes,2023-09-01 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,23.0,Spare,Not Specified,Not Specified,No,23
1134.0,2023-08-27,Down,2023-08-02 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,25.0,Down,Transmission Issues,Not Specified,Yes,25
1134.0,2023-08-29,Down,2023-08-02 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,27.0,Down,Transmission Issues,Not Specified,Yes,27
1135.0,2023-08-09,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,68.0,Down,Mid-life Refurbishment,Not Specified,Yes,68
1135.0,2023-08-10,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,69.0,Down,Mid-life Refurbishment,Not Specified,Yes,69
1135.0,2023-08-11,Down,2023-06-02 00:00:00,Not Specified,None,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,70.0,Down,Mid-life Refurbishment,Not Specified,Yes,70
1135.0,2023-08-12,Down,2023-06-02 00:00:00,Not Specified,None,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,71.0,Down,Not Specified,Not Specified,Yes,71
1135.0,2023-08-13,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,72.0,Down,Mid-life Refurbishment,Not Specified,Yes,72
1135.0,2023-08-16,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,75.0,Down,Mid-life Refurbishment,Not Specified,Yes,75
1135.0,2023-08-17,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,76.0,Down,Mid-life Refurbishment,Not Specified,Yes,76
1135.0,2023-08-18,Down,2023-06-02 00:00:00,Yes,2023-06-02 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,77.0,Down,Mid-life Refurbishment,Not Specified,Yes,77
1135.0,2023-08-19,Down,2023-06-02 00:00:00,Yes,2023-08-30 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,78.0,Down,Transmission Issues,Not Specified,Yes,78
1135.0,2023-08-20,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,79.0,Down,Mid-life Refurbishment,Not Specified,Yes,79
1135.0,2023-08-21,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,80.0,Down,Mid-life Refurbishment,Not Specified,Yes,80
1135.0,2023-08-22,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,81.0,Down,Mid-life Refurbishment,Not Specified,Yes,81
1135.0,2023-08-23,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,82.0,Down,Mid-life Refurbishment,Not Specified,Yes,82
1135.0,2023-08-24,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,83.0,Down,Mid-life Refurbishment,Not Specified,Yes,83
1135.0,2023-08-25,Down,2023-06-02 00:00:00,Yes,2023-09-01 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Transmission Issues,Not Specified,Not Specified,84.0,Down,Mid-life Refurbishment,Not Specified,Yes,84
1135.0,2023-08-27,Down,2023-06-02 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,86.0,Down,Mid-life Refurbishment,Not Specified,Yes,86
1135.0,2023-08-29,Down,2023-06-02 00:00:00,Not Specified,2023-09-30 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Mid-life Refurbishment,Not Specified,Not Specified,88.0,Down,Mid-life Refurbishment,Not Specified,Yes,88
1136.0,2023-08-09,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Transmission Issues,Not Specified,Not Specified,62.0,Down,Transmission Issues,Not Specified,Yes,62
1136.0,2023-08-10,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Transmission Issues,Not Specified,Not Specified,63.0,Down,Transmission Issues,Not Specified,Yes,63
1136.0,2023-08-11,Down,2023-06-08 00:00:00,Not Specified,None,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Transmission Issues,Not Specified,Not Specified,64.0,Down,Transmission Issues,Not Specified,Yes,64
1136.0,2023-08-12,Down,2023-06-08 00:00:00,Not Specified,None,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Follow Up,Not Specified,Not Specified,65.0,Down,Not Specified,Not Specified,Yes,65
1136.0,2023-08-13,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Transmission Issues,Not Specified,Not Specified,66.0,Down,Transmission Issues,Not Specified,Yes,66
1136.0,2023-08-16,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,69.0,Down,Transmission Issues,Not Specified,Yes,69
1136.0,2023-08-17,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,70.0,Down,Transmission Issues,Not Specified,Yes,70
1136.0,2023-08-18,Down,2023-06-08 00:00:00,Yes,2023-06-08 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Transmission Issues,Not Specified,Not Specified,71.0,Down,Transmission Issues,Not Specified,Yes,71
1136.0,2023-08-19,Down,2023-06-08 00:00:00,Yes,2023-08-30 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,72.0,Down,Awaiting Service,Not Specified,Yes,72
1136.0,2023-08-20,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Transmission Issues,Not Specified,Not Specified,73.0,Down,Transmission Issues,Not Specified,Yes,73
1136.0,2023-08-21,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,74.0,Down,Transmission Issues,Not Specified,Yes,74
1136.0,2023-08-22,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,75.0,Down,Transmission Issues,Not Specified,Yes,75
1136.0,2023-08-23,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,76.0,Down,Transmission Issues,Not Specified,Yes,76
1136.0,2023-08-24,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,77.0,Down,Transmission Issues,Not Specified,Yes,77
1136.0,2023-08-25,Down,2023-06-08 00:00:00,Yes,2023-09-01 00:00:00,Not Specified,Going to Vendor,Accident Damage,Not Specified,Not Specified,78.0,Down,Transmission Issues,Not Specified,Yes,78
1136.0,2023-08-27,Down,2023-06-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,80.0,Down,Transmission Issues,Not Specified,Yes,80
1136.0,2023-08-29,Down,2023-06-08 00:00:00,Not Specified,2023-09-30 00:00:00,Not Specified,Going to Vendor,Transmission Issues,Not Specified,Not Specified,82.0,Down,Transmission Issues,Not Specified,Yes,82
1137.0,2023-08-10,Down,2023-08-10 00:00:00,Yes,2023-08-12 00:00:00,Not Specified,In Progress,Suspension/Steering System,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,No,0
1137.0,2023-08-21,Down,2023-08-21 00:00:00,Yes,2023-08-24 00:00:00,Not Specified,In Progress,Follow Up,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,No,0
1137.0,2023-08-22,Down,2023-08-21 00:00:00,Not Specified,2023-08-24 00:00:00,prevent maintenance,In Progress,Follow Up, Other,Not Specified,1.0,Down,Awaiting Services,Not Specified,Yes,1
1137.0,2023-08-23,Down,2023-08-21 00:00:00,Not Specified,2023-08-24 00:00:00,Not Specified,In Progress,Follow Up,Not Specified,Not Specified,2.0,Down,Follow Up,Not Specified,Yes,2
1137.0,2023-08-29,Down,2023-08-29 00:00:00,Yes,2023-08-30 00:00:00,rear bellow leak,In Progress,rear bellow leak,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,No,0
1138.0,2023-08-19,Down,2023-08-18 00:00:00,Yes,2023-08-30 00:00:00,Not Specified,Going to Vendor,Accident Damage,Not Specified,Not Specified,1.0,Down,Check/Stop System/Engine Lights,Not Specified,Yes,1
